41 6
                 0.12       0.37       1.11       3.33      10.00      30.00 
   4.00000  -23.46982  -23.33822  -23.08677  -22.72159  -22.28935  -21.82840 
   4.10000  -22.50205  -22.46828  -22.38034  -22.19003  -21.87526  -21.46933 
   4.20000  -21.98006  -21.95744  -21.89588  -21.75084  -21.48326  -21.10673 
   4.30000  -22.07162  -22.03405  -21.93763  -21.73423  -21.40752  -20.99488 
   4.40000  -22.27307  -22.19374  -22.01738  -21.71610  -21.31800  -20.87080 
   4.50000  -22.39322  -22.24400  -21.97161  -21.59182  -21.15267  -20.68900 
   4.60000  -22.45861  -22.21164  -21.84970  -21.41893  -20.95843  -20.48700 
   4.70000  -22.40336  -22.08385  -21.67519  -21.22352  -20.75522  -20.28109 
   4.80000  -22.17730  -21.87592  -21.47777  -21.03052  -20.56383  -20.09025 
   4.90000  -21.96919  -21.69949  -21.32149  -20.88317  -20.41979  -19.94736 
   5.00000  -21.97746  -21.66304  -21.25727  -20.80679  -20.33893  -19.86495 
   5.10000  -22.08408  -21.72245  -21.29183  -20.83138  -20.35997  -19.88478 
   5.20000  -22.11099  -21.70811  -21.25886  -20.79143  -20.31759  -19.84158 
   5.30000  -22.10665  -21.67825  -21.21866  -20.74755  -20.27245  -19.79602 
   5.40000  -22.12953  -21.68966  -21.22571  -20.75307  -20.27745  -19.80085 
   5.50000  -22.35909  -21.93234  -21.47341  -21.00252  -20.52749  -20.05109 
   5.60000  -22.57789  -22.17178  -21.72117  -21.25326  -20.77925  -20.30319 
   5.70000  -22.62847  -22.22116  -21.77005  -21.30196  -20.82789  -20.35180 
   5.80000  -22.67090  -22.26435  -21.81355  -21.34557  -20.87154  -20.39546 
   5.90000  -22.71255  -22.29524  -21.84004  -21.37048  -20.89591  -20.41965 
   6.00000  -22.71320  -22.29830  -21.84407  -21.37486  -20.90041  -20.42420 
   6.10000  -22.74124  -22.33414  -21.88312  -21.41506  -20.94100  -20.46494 
   6.20000  -22.77474  -22.37836  -21.93187  -21.46547  -20.99199  -20.51614 
   6.30000  -22.84524  -22.47164  -22.03535  -21.57274  -21.10058  -20.62519 
   6.40000  -22.94920  -22.61975  -22.20560  -21.75169  -21.28260  -20.80822 
   6.50000  -23.02088  -22.74150  -22.35709  -21.91586  -21.45140  -20.97861 
   6.60000  -23.04117  -22.79643  -22.43613  -22.00616  -21.54597  -21.07465 
   6.70000  -23.02728  -22.79872  -22.45088  -22.02710  -21.56932  -21.09886 
   6.80000  -22.99731  -22.77457  -22.43143  -22.01004  -21.55322  -21.08310 
   6.90000  -22.96977  -22.75620  -22.42068  -22.00328  -21.54807  -21.07854 
   7.00000  -22.95550  -22.76467  -22.44938  -22.04313  -21.59249  -21.12466 
   7.10000  -22.95262  -22.80078  -22.52544  -22.14370  -21.70371  -21.23984 
   7.20000  -22.94917  -22.84486  -22.62986  -22.29315  -21.87514  -21.41976 
   7.30000  -22.92967  -22.85937  -22.69850  -22.41324  -22.02507  -21.58220 
   7.40000  -22.89800  -22.84705  -22.72250  -22.47997  -22.12132  -21.69219 
   7.50000  -22.86009  -22.82012  -22.71846  -22.50731  -22.17383  -21.75754 
   7.60000  -22.81887  -22.78552  -22.69853  -22.50973  -22.19635  -21.79117 
   7.70000  -22.77566  -22.74647  -22.66908  -22.49599  -22.19797  -21.80186 
   7.80000  -22.73147  -22.70559  -22.63609  -22.47663  -22.19289  -21.80566 
   7.90000  -22.68630  -22.66279  -22.59904  -22.44995  -22.17772  -21.79802 
   8.00000  -22.64065  -22.61936  -22.56111  -22.42232  -22.16210  -21.79062 
